"id_attempts","word_sent","position_array","right_letters_in_wrong_positions","score","try_datetime","id_game","attepmts"
472,"hakim","[True, True, True, True, True]",,1,"2022-07-18T01:37:58.662774","62d4b9721251332fdf164cb8",5
473,"reducia","[False, False, False, False, False, False, False]","d_u_i_a",0.42857142857142855,"2022-07-18T01:38:01.461551","62d4b9781251332fdf164cbf",1
474,"antiguo","[False, False, False, False, False, False, False]","a_i_g_u",0.2857142857142857,"2022-07-18T01:38:02.322650","62d4b9781251332fdf164cbf",2
475,"guiadas","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:03.159308","62d4b9781251332fdf164cbf",3
476,"descubria","[False, False, False, False, False, False, False, False, False]","d_e_b_a",0.2222222222222222,"2022-07-18T01:38:06.156861","62d4b97d1251332fdf164cc4",1
477,"planteado","[False, False, False, False, False, False, False, True, True]","a_n_e",0.4444444444444444,"2022-07-18T01:38:07.179421","62d4b97d1251332fdf164cc4",2
478,"bombeando","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:08.061992","62d4b97d1251332fdf164cc4",3
479,"meticulosa","[False, False, False, False, False, False, False, False, False, False]","e_t_i_o",0.4,"2022-07-18T01:38:10.877018","62d4b9811251332fdf164cc9",1
480,"expediente","[False, False, False, False, False, False, False, False, False, False]","e_i_n_t",0.4,"2022-07-18T01:38:11.899584","62d4b9811251332fdf164cc9",2
481,"fiorentino","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:12.799530","62d4b9811251332fdf164cc9",3
482,"cabo","[False, False, False, True]",,0.25,"2022-07-18T01:38:15.822942","62d4b9861251332fdf164cce",1
483,"tipo","[False, False, False, True]","t",0.25,"2022-07-18T01:38:16.857289","62d4b9861251332fdf164cce",2
484,"ruso","[False, False, False, True]",,0.25,"2022-07-18T01:38:17.676808","62d4b9861251332fdf164cce",3
485,"dejo","[False, False, False, True]",,0.25,"2022-07-18T01:38:18.519614","62d4b9861251332fdf164cce",4
486,"logo","[False, True, False, True]",,0.5,"2022-07-18T01:38:19.339796","62d4b9861251332fdf164cce",5
487,"cultivos","[False, False, False, False, False, False, True, True]","c_l_t",0.375,"2022-07-18T01:38:22.142141","62d4b98d1251332fdf164cd5",6
488,"mercados","[False, False, False, True, False, False, True, True]","a",0.375,"2022-07-18T01:38:23.119849","62d4b98d1251332fdf164cd5",7
489,"tlacoyos","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:24.099808","62d4b98d1251332fdf164cd5",8
490,"ciertas","[False, False, False, False, True, False, True]","c_e_a",0.42857142857142855,"2022-07-18T01:38:27.017061","62d4b9911251332fdf164cda",1
491,"adultos","[False, False, False, False, True, True, True]","a",0.5714285714285714,"2022-07-18T01:38:27.939777","62d4b9911251332fdf164cda",2
492,"exactos","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:28.819569","62d4b9911251332fdf164cda",3
493,"cortas","[False, False, False, True, False, True]","o_a",0.16666666666666666,"2022-07-18T01:38:31.562066","62d4b9961251332fdf164cdf",1
494,"juntos","[False, False, True, True, True, True]",,0.6666666666666666,"2022-07-18T01:38:32.522973","62d4b9961251332fdf164cdf",2
495,"lentos","[False, False, True, True, True, True]",,0.6666666666666666,"2022-07-18T01:38:33.438448","62d4b9961251332fdf164cdf",3
496,"tantos","[False, True, True, True, True, True]",,0.8333333333333334,"2022-07-18T01:38:34.319935","62d4b9961251332fdf164cdf",4
497,"santos","[True, True, True, True, True, True]",,1,"2022-07-18T01:38:35.119495","62d4b9961251332fdf164cdf",5
498,"aprovechamiento","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","a_e_c_a_m_i",0.5333333333333333,"2022-07-18T01:38:37.736865","62d4b99c1251332fdf164ce6",1
499,"suficientemente","[False, False, False, False, False, False, False, False, False, False, True, True, True, True, True]","i_c_i_e_t",0.4666666666666667,"2022-07-18T01:38:38.816797","62d4b99c1251332fdf164ce6",2
500,"dialecticamente","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:39.819308","62d4b99c1251332fdf164ce6",3
501,"cortas","[False, False, False, False, False, False]","r",0.16666666666666666,"2022-07-18T01:38:42.581330","62d4b9a11251332fdf164ceb",1
502,"ludwig","[False, True, False, False, False, False]",,0.16666666666666666,"2022-07-18T01:38:43.519523","62d4b9a11251332fdf164ceb",2
503,"humber","[False, True, False, False, True, True]","b",0.5,"2022-07-18T01:38:44.521914","62d4b9a11251332fdf164ceb",3
504,"bunker","[True, True, True, True, True, True]",,1,"2022-07-18T01:38:45.382685","62d4b9a11251332fdf164ceb",4
505,"cultivos","[False, False, False, False, False, False, False, False]","c_i_v",0.125,"2022-07-18T01:38:48.102258","62d4b9a71251332fdf164cf1",1
506,"friedman","[False, False, False, True, False, False, False, False]","r_i",0.25,"2022-07-18T01:38:49.099823","62d4b9a71251332fdf164cf1",2
507,"keverich","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:50.019734","62d4b9a71251332fdf164cf1",3
508,"punto","[False, False, False, False, False]",,0,"2022-07-18T01:38:52.742253","62d4b9ab1251332fdf164cf6",1
509,"sirve","[False, False, True, True, False]",,0.4,"2022-07-18T01:38:53.679865","62d4b9ab1251332fdf164cf6",2
510,"larva","[True, True, True, True, True]",,1,"2022-07-18T01:38:54.539803","62d4b9ab1251332fdf164cf6",3
511,"meticulosa","[False, False, False, False, False, False, False, False, False, False]","e_c_l_o_a",0.1,"2022-07-18T01:38:57.382134","62d4b9b01251332fdf164cfb",1
512,"elaborando","[False, False, False, False, False, True, True, False, False, False]","e_l_a_o_n",0.5,"2022-07-18T01:38:58.360061","62d4b9b01251332fdf164cfb",2
513,"aceleraron","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:38:59.280374","62d4b9b01251332fdf164cfb",3
514,"ciertas","[False, False, False, True, True, True, False]",,0.42857142857142855,"2022-07-18T01:39:02.542984","62d4b9b51251332fdf164d00",1
515,"aportan","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:03.586210","62d4b9b51251332fdf164d00",2
516,"cambio","[True, False, False, False, False, False]","o",0.3333333333333333,"2022-07-18T01:39:06.353385","62d4b9b91251332fdf164d04",1
517,"choque","[True, False, False, False, False, True]","o_u",0.5,"2022-07-18T01:39:07.257004","62d4b9b91251332fdf164d04",2
518,"crusoe","[True, True, True, True, True, True]",,1,"2022-07-18T01:39:08.203042","62d4b9b91251332fdf164d04",3
519,"meticulosa","[False, False, False, False, False, False, False, False, False, False]","m_i_o_a",0.2,"2022-07-18T01:39:10.944488","62d4b9be1251332fdf164d09",1
520,"organizado","[False, False, False, True, True, True, True, True, True, True]","o_r",0.8,"2022-07-18T01:39:12.059735","62d4b9be1251332fdf164d09",2
521,"romanizado","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:13.015135","62d4b9be1251332fdf164d09",3
522,"cultivados","[False, False, False, False, False, False, True, True, True, True]","t",0.5,"2022-07-18T01:39:15.922421","62d4b9c21251332fdf164d0e",1
523,"gobernados","[False, False, False, False, True, False, True, True, True, True]","o_e",0.5,"2022-07-18T01:39:16.997001","62d4b9c21251332fdf164d0e",2
524,"exportados","[False, False, True, True, True, True, True, True, True, True]","e",0.9,"2022-07-18T01:39:17.917185","62d4b9c21251332fdf164d0e",3
525,"reportados","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:39:18.860416","62d4b9c21251332fdf164d0e",4
526,"punto","[True, False, False, False, False]",,0.2,"2022-07-18T01:39:21.641623","62d4b9c81251332fdf164d14",1
527,"pesca","[True, False, False, False, True]",,0.4,"2022-07-18T01:39:22.660182","62d4b9c81251332fdf164d14",2
528,"prima","[True, True, True, True, True]",,1,"2022-07-18T01:39:23.642435","62d4b9c81251332fdf164d14",3
529,"ciertas","[False, False, False, False, False, True, True]","e_r",0.42857142857142855,"2022-07-18T01:39:26.697110","62d4b9cd1251332fdf164d19",1
530,"bodegas","[False, False, False, True, False, True, True]","g",0.42857142857142855,"2022-07-18T01:39:27.640202","62d4b9cd1251332fdf164d19",2
531,"maneras","[False, False, False, True, False, True, True]","r",0.42857142857142855,"2022-07-18T01:39:28.622356","62d4b9cd1251332fdf164d19",3
