"id_people","id_date","id_games","word_sent","score","amount_attempts"
1,19072022,29,"camaras",0.1429,1
1,19072022,29,"enfermo",0.5714,2
1,19072022,29,"informe",1,3
1,19072022,30,"decidida",0.125,1
1,19072022,30,"aportado",0.625,2
1,19072022,30,"asustado",1,3
1,19072022,31,"generadas",0.4444,1
1,19072022,31,"precedido",0.4444,2
1,19072022,31,"electrodo",1,3
1,19072022,32,"copernicanas",0.5,1
1,19072022,32,"republicanos",1,2
1,19072022,33,"contras",0.5714,1
1,19072022,33,"charlas",1,2
1,19072022,34,"peloritanos",0.2727,1
1,19072022,34,"lapislazuli",1,2
1,19072022,35,"decidida",0.5,1
1,19072022,35,"aprecian",1,2
1,19072022,36,"generadas",0.2222,1
1,19072022,36,"escindido",0.8889,2
1,19072022,36,"escondido",1,3
1,19072022,37,"apropiaciones",0.3077,1
1,19072022,37,"beethoveniana",1,2
1,19072022,38,"decidida",0.25,1
1,19072022,38,"alemanas",0.25,2
1,19072022,38,"saussure",0.125,3
1,19072022,38,"estatuto",1,4
1,19072022,39,"marita",0.5,1
1,19072022,39,"afilar",0.1667,2
1,19072022,39,"reinas",0.8333,3
1,19072022,39,"reinan",1,4
1,19072022,40,"cara",0,1
1,19072022,40,"lino",0.25,2
1,19072022,40,"book",0.75,3
1,19072022,40,"boom",1,4
1,19072022,41,"deportaciones",0.4615,1
1,19072022,41,"tecnificacion",1,2
1,19072022,42,"contras",0.4286,1
1,19072022,42,"chispas",1,2
1,19072022,43,"marita",0.3333,1
1,19072022,43,"podian",0.5,2
1,19072022,43,"venian",0.5,3
1,19072022,43,"julian",1,4
1,19072022,44,"generadas",0,1
1,19072022,44,"bibliopol",0.4444,2
1,19072022,44,"implicito",1,3
1,19072022,45,"marita",0.5,1
1,19072022,45,"barein",0.6667,2
1,19072022,45,"barrio",1,3
1,19072022,46,"marita",0.3333,1
1,19072022,46,"calado",0.5,2
1,19072022,46,"causas",1,3
1,19072022,47,"cartas",0.1667,1
1,19072022,47,"mester",0.6667,2
1,19072022,47,"ulster",1,3
1,19072022,48,"decidida",0.25,1
1,19072022,48,"limitado",0.5,2
1,19072022,48,"fusilado",1,3
